Similar_Facility_Unit_ID,Facility_Unit.ID,State,Facility_Name,Facility_ID,Unit_ID,Associated_Stacks,Year,Program_Code,Primary_Rep_Info,EPA_Region,NERC_Region,County,County_Code,FIPS_Code,Source_Category,Latitude,Longitude,Owner_Operator,SO2_Phase,NOx_Phase,Unit_Type,Primary_Fuel_Type,Secondary_Fuel_Type,SO2_Controls,NOx_Controls,PM_Controls,Hg_Controls,Commercial_Operation_Date,Operating_Status,Max_Hourly_HI_Rate,Associated_Generators_Capacity,Estimated_NameplateCapacity_MW,min_gen_MW,mean_gen_MW,max_gen_MW,avg_operating_time,non_zero_count,unique_day_hours,start_date,end_date,non_zero_count_CO2,mean_CO2_tons_MW,mean_NOx_lbs_MW,mean_SO2_lbs_MW,mean_Heat_Input_mmBtu,Total_Expected_Points,Time_Slots_Above_3,Reliability_Score_3,Reliability_Label,date_range,CF,mean_CO2_tons_MW_estimate,mean_NOx_lbs_MW_estimate,mean_SO2_lbs_MW_estimate,mean_HI_mmBtu_per_MW,Operation_Year,Age_of_Facility
,2401_16001,NJ,Essex,2401,16001,CP0001,2015,"CSNOX, CSNOXOS, CSSO2G1","605907 (Ended Aug 06, 2015), 607083 (Started Aug 06, 2015)",2,,Essex County,NJ013,13,Electric Utility,40.7375,-74.1211,"PSEG (Owner/Operator) (Ended Aug 06, 2015)|PSEG Power, LLC (Owner) (Started Aug 06, 2015)|PSEG (Owner/Operator) (Ended Aug 06, 2015)|PSEG Power, LLC (Operator) (Started Aug 06, 2015)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1971-12-23,Operating (Retired 06/30/2015),844,112 (41.8),41.8,1,23.2747252747253,45,1,91,91,2014-05-06,2015-03-16,91,0.923748819641171,10.9570821529745,0.00939565627950897,364.313186813187,792,0,0,Low,314,,,,,,1971,53
,2401_18001,NJ,Essex,2401,18001,CP0001,2015,"CSNOX, CSNOXOS, CSSO2G1","605907 (Ended Aug 06, 2015), 607083 (Started Aug 06, 2015)",2,,Essex County,NJ013,13,Electric Utility,40.7375,-74.1211,"PSEG (Owner/Operator) (Ended Aug 06, 2015)|PSEG Power, LLC (Owner) (Started Aug 06, 2015)|PSEG (Owner/Operator) (Ended Aug 06, 2015)|PSEG Power, LLC (Operator) (Started Aug 06, 2015)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1971-12-23,Operating (Retired 06/30/2015),844,113 (41.8),41.8,1,23.46,47,1,100,100,2014-05-12,2015-02-09,100,0.916538789428815,10.8716112531969,0.00912190963341858,364.347,840,0,0,Low,273,,,,,,1971,53
,2401_20001,NJ,Essex,2401,20001,CP0001,2015,"CSNOX, CSNOXOS, CSSO2G1","605907 (Ended Aug 06, 2015), 607083 (Started Aug 06, 2015)",2,,Essex County,NJ013,13,Electric Utility,40.7375,-74.1211,"PSEG (Owner/Operator) (Ended Aug 06, 2015)|PSEG Power, LLC (Owner) (Started Aug 06, 2015)|PSEG (Owner/Operator) (Ended Aug 06, 2015)|PSEG Power, LLC (Operator) (Started Aug 06, 2015)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1971-12-23,Operating (Retired 06/30/2015),844,114 (41.8),41.8,1,22.1919191919192,47,1,99,99,2014-05-14,2015-03-16,99,0.922439690487028,10.9412835685025,0.00919435593991807,346.846464646465,840,0,0,Low,306,,,,,,1971,53
,2401_2001,NJ,Essex,2401,2001,CP0001,2015,"CSNOX, CSNOXOS, CSSO2G1","605907 (Ended Aug 06, 2015), 607083 (Started Aug 06, 2015)",2,,Essex County,NJ013,13,Electric Utility,40.7375,-74.1211,"PSEG (Owner/Operator) (Ended Aug 06, 2015)|PSEG Power, LLC (Owner) (Started Aug 06, 2015)|PSEG (Owner/Operator) (Ended Aug 06, 2015)|PSEG Power, LLC (Operator) (Started Aug 06, 2015)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1971-06-28,Operating (Retired 06/30/2015),810,101 (41.8),41.8,1,28.9806201550388,46,1,774,729,2013-01-20,2015-04-07,774,0.877856537827114,10.9954081405198,0.757670188578307,390.999354005168,3072,0,0,Low,807,,,,,,1971,53
,2401_22001,NJ,Essex,2401,22001,CP0001,2015,"CSNOX, CSNOXOS, CSSO2G1","605907 (Ended Aug 06, 2015), 607083 (Started Aug 06, 2015)",2,,Essex County,NJ013,13,Electric Utility,40.7375,-74.1211,"PSEG (Owner/Operator) (Ended Aug 06, 2015)|PSEG Power, LLC (Owner) (Started Aug 06, 2015)|PSEG (Owner/Operator) (Ended Aug 06, 2015)|PSEG Power, LLC (Operator) (Started Aug 06, 2015)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1971-06-08,Operating (Retired 06/30/2015),844,121 (41.8),41.8,1,27.453125,47,1,128,128,2014-04-01,2015-03-18,128,0.770717131474104,9.14282868525896,0.00785429709732499,358.5625,720,0,0,Low,351,,,,,,1971,53
,2401_24001,NJ,Essex,2401,24001,CP0001,2015,"CSNOX, CSNOXOS, CSSO2G1","605907 (Ended Aug 06, 2015), 607083 (Started Aug 06, 2015)",2,,Essex County,NJ013,13,Electric Utility,40.7375,-74.1211,"PSEG (Owner/Operator) (Ended Aug 06, 2015)|PSEG Power, LLC (Owner) (Started Aug 06, 2015)|PSEG (Owner/Operator) (Ended Aug 06, 2015)|PSEG Power, LLC (Operator) (Started Aug 06, 2015)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1971-06-08,Operating (Retired 06/30/2015),844,122 (41.8),41.8,1,28.8360655737705,44,1,122,122,2014-04-02,2015-03-18,122,0.772768618533258,9.1681637293917,0.00793064241046049,377.670491803279,720,0,0,Low,350,,,,,,1971,53
,2401_26001,NJ,Essex,2401,26001,CP0001,2015,"CSNOX, CSNOXOS, CSSO2G1","605907 (Ended Aug 06, 2015), 607083 (Started Aug 06, 2015)",2,,Essex County,NJ013,13,Electric Utility,40.7375,-74.1211,"PSEG (Owner/Operator) (Ended Aug 06, 2015)|PSEG Power, LLC (Owner) (Started Aug 06, 2015)|PSEG (Owner/Operator) (Ended Aug 06, 2015)|PSEG Power, LLC (Operator) (Started Aug 06, 2015)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1971-06-08,Operating (Retired 06/30/2015),844,123 (41.8),41.8,1,25.6078431372549,45,1,102,102,2014-06-16,2015-03-18,102,0.900153139356815,10.6792113323124,0.00911179173047473,390.655882352941,576,0,0,Low,275,,,,,,1971,53
,2401_28001,NJ,Essex,2401,28001,CP0001,2015,"CSNOX, CSNOXOS, CSSO2G1","605907 (Ended Aug 06, 2015), 607083 (Started Aug 06, 2015)",2,,Essex County,NJ013,13,Electric Utility,40.7375,-74.1211,"PSEG (Owner/Operator) (Ended Aug 06, 2015)|PSEG Power, LLC (Owner) (Started Aug 06, 2015)|PSEG (Owner/Operator) (Ended Aug 06, 2015)|PSEG Power, LLC (Operator) (Started Aug 06, 2015)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1971-06-08,Operating (Retired 06/30/2015),844,124 (41.8),41.8,1,28.1428571428571,45,1,84,84,2014-06-25,2015-03-18,84,0.887732656514382,10.5297800338409,0.00909475465313029,423.327380952381,480,0,0,Low,266,,,,,,1971,53
,2401_35001,NJ,Essex,2401,35001,,2022,"CSNOX, CSOSG3, CSSO2G1, RGGI","608462 (Ended Mar 07, 2022), 608054 (Started Mar 07, 2022)",2,,Essex County,NJ013,13,Electric Utility,40.7375,-74.1211,"PSEG Power, LLC (Owner) (Ended Mar 11, 2022)|Kindle Energy LLC (Owner) (Started Mar 11, 2022)|PSEG Power, LLC (Operator) (Ended Mar 11, 2022)|CAMS, LLC (Operator) (Started Mar 11, 2022)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,Water Injection|Other,,,1990-07-01,Operating (Retired 06/01/2022),1221,9 (93.6),93.6,0,51.2027761013881,97,0.694864212432106,1320,1425,2013-01-04,2022-02-15,1657,0.587523154532489,0.940233879047181,0.0189886849828507,486.280011466506,6144,25,0.406901041666667,Low,3329,,,,,,1990,34
,2401_4001,NJ,Essex,2401,4001,CP0001,2015,"CSNOX, CSNOXOS, CSSO2G1","605907 (Ended Aug 06, 2015), 607083 (Started Aug 06, 2015)",2,,Essex County,NJ013,13,Electric Utility,40.7375,-74.1211,"PSEG (Owner/Operator) (Ended Aug 06, 2015)|PSEG Power, LLC (Owner) (Started Aug 06, 2015)|PSEG (Owner/Operator) (Ended Aug 06, 2015)|PSEG Power, LLC (Operator) (Started Aug 06, 2015)",,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,,,,1971-06-28,Operating (Retired 06/30/2015),810,102 (41.8),41.8,1,25.2811188811189,45,1,715,674,2013-01-18,2015-04-07,715,0.883414472228369,11.0387032529321,0.748594821863244,343.824055944056,3120,0,0,Low,809,,,,,,1971,53
,2403_2,NJ,Hudson Generating Station,2403,2,,2017,"ARP, CSNOX, CSOSG2, CSSO2G1, MATS",608462,2,MAAC,Hudson County,NJ017,17,Electric Utility,40.7478,-74.0719,"PSEG Power, LLC (Owner)|PSEG Power, LLC (Operator)",Phase 2,Phase 2 Group 1,Dry bottom wall-fired boiler,Coal,Pipeline Natural Gas,Dry Lime FGD,Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction,Electrostatic Precipitator,,1968-12-18,Operating (Retired 06/01/2017),6600,2 (659),659,0,326.019053536295,663,0.991016878947913,8682,5615,2013-01-02,2017-05-19,9653,0.701411377203286,0.861985198671311,0.267025457650095,3571.2328048048,6048,1107,18.3035714285714,Low,1598,,,,,,1968,56
,2404_121,NJ,Kearny Generating Station,2404,121,,2013,"ARP, CAIRNOX, CAIROS, CAIRSO2","605907 (Ended Apr 23, 2013), 607083 (Started Apr 23, 2013)",2,,Hudson County,NJ017,17,Electric Utility,40.7375,-74.1,PSEG (Owner)|PSEG (Operator),Phase 2,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,Water Injection,,,2001-06-01,Operating,463,N121 (60.5),60.5,0,29.6653581003447,52,0.678479509766373,8309,5157,2013-01-01,2023-12-30,10431,0.526149603808602,0.823561491164367,0.00641742273864278,260.3148423018,8784,1407,16.0177595628415,Low,4015,,,,,,2001,23
,2404_122,NJ,Kearny Generating Station,2404,122,,2013,"ARP, CAIRNOX, CAIROS, CAIRSO2","605907 (Ended Apr 23, 2013), 607083 (Started Apr 23, 2013)",2,,Hudson County,NJ017,17,Electric Utility,40.7375,-74.1,PSEG (Owner)|PSEG (Operator),Phase 2,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,Water Injection,,,2001-05-31,Operating,463,N122 (60.5),60.5,0,30.3549906762195,52,0.678919422907057,8081,5067,2013-01-01,2023-12-30,10189,0.524006026764785,0.791602854306841,0.0072402978463369,263.799456276376,8784,1352,15.391621129326,Low,4015,,,,,,2001,23
,2404_123,NJ,Kearny Generating Station,2404,123,,2013,"ARP, CAIRNOX, CAIROS, CAIRSO2","605907 (Ended Apr 23, 2013), 607083 (Started Apr 23, 2013)",2,,Hudson County,NJ017,17,Electric Utility,40.7375,-74.1,PSEG (Owner)|PSEG (Operator),Phase 2,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,Water Injection,,,2001-06-01,Operating,463,N123 (60.5),60.5,0,30.3383262466177,51,0.683684770003866,8297,5066,2013-01-03,2023-12-30,10348,0.541598067789808,0.812850965627299,0.00769462096381167,272.303253382296,8784,1408,16.0291438979964,Low,4013,,,,,,2001,23
,2404_124,NJ,Kearny Generating Station,2404,124,,2013,"ARP, CAIRNOX, CAIROS, CAIRSO2","605907 (Ended Apr 23, 2013), 607083 (Started Apr 23, 2013)",2,,Hudson County,NJ017,17,Electric Utility,40.7375,-74.1,PSEG (Owner)|PSEG (Operator),Phase 2,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,Water Injection,,,2001-06-01,Operating,463,N124 (60.5),60.5,0,30.211937716263,52,0.694299307958477,8433,5084,2013-01-03,2023-12-30,10404,0.542466106736658,0.804789889445637,0.00773194305257297,272.227892349097,8784,1425,16.2226775956284,Low,4013,,,,,,2001,23
,2404_131,NJ,Kearny Generating Station,2404,131,,2013,"ARP, CAIRNOX, CAIROS, CAIRSO2","605907 (Ended Apr 23, 2013), 607083 (Started Apr 23, 2013)",2,,Hudson County,NJ017,17,Electric Utility,40.7375,-74.1,PSEG (Owner)|PSEG (Operator),Phase 2,,Combustion turbine,Pipeline Natural Gas,,,Water Injection|Selective Catalytic Reduction,,,2012-04-24,Operating,490,131 (49),49,0,32.2429327963004,51,0.728835682852241,11284,5869,2013-01-02,2023-12-25,13404,0.546420798045716,0.0849600051818146,0.00551753142053433,296.462835086149,8784,2003,22.8028233151184,Low,4009,,,,,,2012,12
,2404_132,NJ,Kearny Generating Station,2404,132,,2013,"ARP, CAIRNOX, CAIROS, CAIRSO2","605907 (Ended Apr 23, 2013), 607083 (Started Apr 23, 2013)",2,,Hudson County,NJ017,17,Electric Utility,40.7375,-74.1,PSEG (Owner)|PSEG (Operator),Phase 2,,Combustion turbine,Pipeline Natural Gas,,,Water Injection|Selective Catalytic Reduction,,,2012-05-05,Operating,490,132 (49),49,0,32.09929626479,51,0.723374062330833,10747,5751,2013-01-02,2023-12-25,12930,0.549038149640066,0.0827073523884782,0.00554387148377646,296.558702961875,8784,1930,21.971766848816,Low,4009,,,,,,2012,12
,2404_133,NJ,Kearny Generating Station,2404,133,,2013,"ARP, CAIRNOX, CAIROS, CAIRSO2","605907 (Ended Apr 23, 2013), 607083 (Started Apr 23, 2013)",2,,Hudson County,NJ017,17,Electric Utility,40.7375,-74.1,PSEG (Owner)|PSEG (Operator),Phase 2,,Combustion turbine,Pipeline Natural Gas,,,Water Injection|Selective Catalytic Reduction,,,2012-05-09,Operating,490,133 (49),49,0,31.895882130714,51,0.733431809595769,11137,5788,2013-01-02,2023-12-25,13227,0.53495396098943,0.0716452425960933,0.00540215851538108,287.124411862486,8784,1995,22.7117486338798,Low,4009,,,,,,2012,12
,2404_134,NJ,Kearny Generating Station,2404,134,,2013,"ARP, CAIRNOX, CAIROS, CAIRSO2","605907 (Ended Apr 23, 2013), 607083 (Started Apr 23, 2013)",2,,Hudson County,NJ017,17,Electric Utility,40.7375,-74.1,PSEG (Owner)|PSEG (Operator),Phase 2,,Combustion turbine,Pipeline Natural Gas,,,Water Injection|Selective Catalytic Reduction,,,2012-05-14,Operating,490,134 (49),49,0,31.9468714011516,51,0.731991554702495,10933,5676,2013-01-02,2023-12-25,12968,0.538648240360675,0.0694369610774126,0.00543924173531871,289.562681612284,8784,1986,22.6092896174863,Low,4009,,,,,,2012,12
,2404_141,NJ,Kearny Generating Station,2404,141,,2013,"ARP, CAIRNOX, CAIROS, CAIRSO2","605907 (Ended Apr 23, 2013), 607083 (Started Apr 23, 2013)",2,,Hudson County,NJ017,17,Electric Utility,40.7375,-74.1,PSEG (Owner)|PSEG (Operator),Phase 2,,Combustion turbine,Pipeline Natural Gas,,,Water Injection|Selective Catalytic Reduction,,,2012-04-05,Operating,490,141 (49),49,0,36.5854988555271,51,0.815744580584354,14380,5569,2013-01-02,2023-12-31,14854,0.53653365314726,0.0694671086649701,0.00541774912087973,330.298931264306,8760,2468,28.1735159817352,Low,4015,,,,,,2012,12
,2404_142,NJ,Kearny Generating Station,2404,142,,2013,"ARP, CAIRNOX, CAIROS, CAIRSO2","605907 (Ended Apr 23, 2013), 607083 (Started Apr 23, 2013)",2,,Hudson County,NJ017,17,Electric Utility,40.7375,-74.1,PSEG (Owner)|PSEG (Operator),Phase 2,,Combustion turbine,Pipeline Natural Gas,,,Water Injection|Selective Catalytic Reduction,,,2012-04-12,Operating,490,142 (49),49,0,37.5222012446682,51,0.822745262569051,13863,5437,2013-01-02,2023-12-31,14274,0.534120684674947,0.0676223721359287,0.00539352596416358,337.234681770506,8760,2399,27.3858447488584,Low,4015,,,,,,2012,12
,2404_15001,NJ,Kearny Generating Station,2404,15001,CP0001,2014,SIPNOX,607083,2,,Hudson County,NJ017,17,Electric Utility,40.7375,-74.1,PSEG (Owner)|PSEG (Operator),,,Combustion turbine,Pipeline Natural Gas,,,,,,1967-07-07,Operating (Retired 08/04/2014),327,9 (18.6),18.6,,,,,,,,,,,,,,,,,,,,,,,,1967,57
,2406_1101,NJ,Linden Generating Station,2406,1101,,2013,"ARP, CAIRNOX, CAIROS, CAIRSO2",1783,2,MAAC,Union County,NJ039,39,Electric Utility,40.6225,-74.2097,PSEG (Owner)|PSEG (Operator),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners|Water Injection|Selective Catalytic Reduction,,,2005-05-10,Operating,2450,"1001 (315), 1101 (193)",508,0,220.585597361893,345,0.982991042913801,67160,8777,2013-01-10,2023-12-23,67321,0.432432262990754,0.0461510233337372,0.00436890829205006,1603.94317933483,8784,8748,99.5901639344262,High,3999,,,,,,2005,19
,2406_1201,NJ,Linden Generating Station,2406,1201,,2013,"ARP, CAIRNOX, CAIROS, CAIRSO2",1783,2,MAAC,Union County,NJ039,39,Electric Utility,40.6225,-74.2097,PSEG (Owner)|PSEG (Operator),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners|Water Injection|Selective Catalytic Reduction,,,2005-05-11,Operating,2450,"1201 (193), 1001 (315)",508,0,219.623454488972,349,0.979111680646163,64240,8783,2013-01-11,2023-12-23,64380,0.433427154189037,0.0484811760194487,0.00497893023148576,1597.44587854924,8784,8715,99.2144808743169,High,3998,,,,,,2005,19
,2406_2101,NJ,Linden Generating Station,2406,2101,,2013,"ARP, CAIRNOX, CAIROS, CAIRSO2",1783,2,MAAC,Union County,NJ039,39,Electric Utility,40.6225,-74.2097,PSEG (Owner)|PSEG (Operator),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners|Water Injection|Selective Catalytic Reduction,,,2005-07-01,Operating,2450,"2101 (193), 2001 (315)",508,0,221.300299789838,385,0.98028588206206,64599,8760,2013-01-07,2023-12-31,64712,0.427717273180206,0.0474255140343214,0.00539264760975044,1586.92429603474,8760,8717,99.5091324200913,High,4010,,,,,,2005,19
,2406_2201,NJ,Linden Generating Station,2406,2201,,2013,"ARP, CAIRNOX, CAIROS, CAIRSO2",1783,2,MAAC,Union County,NJ039,39,Electric Utility,40.6225,-74.2097,PSEG (Owner)|PSEG (Operator),Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners|Water Injection|Selective Catalytic Reduction,,,2005-07-01,Operating,2450,"2001 (315), 2201 (193)",508,0,222.630008667751,366,0.981845470719727,65625,8760,2013-01-07,2023-12-31,65761,0.424666717143526,0.046217920418962,0.00428884327529382,1589.58866103009,8760,8711,99.4406392694064,High,4010,,,,,,2005,19
,2406_5,NJ,Linden Generating Station,2406,5,,2013,"ARP, CAIRNOX, CAIROS, CAIRSO2",1783,2,MAAC,Union County,NJ039,39,Electric Utility,40.6225,-74.2097,PSEG (Owner)|PSEG (Operator),Phase 2,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners|Water Injection,,,1999-10-28,Operating,1200,5 (96.1),96.1,0,52.6122611464968,99,0.737157643312102,2184,1889,2013-01-26,2023-12-18,2503,0.671092976801199,0.540747279853513,0.0128557225223589,576.925546178344,7488,111,1.48237179487179,Low,3978,,,,,,1999,25
,2406_6,NJ,Linden Generating Station,2406,6,,2013,"ARP, CAIRNOX, CAIROS, CAIRSO2",1783,2,MAAC,Union County,NJ039,39,Electric Utility,40.6225,-74.2097,PSEG (Owner)|PSEG (Operator),Phase 2,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners|Water Injection,,,2000-04-11,Operating,1200,6 (96.1),96.1,0,57.5229619081524,101,0.73561053755785,2533,2039,2013-01-26,2023-10-13,2806,0.682911091581983,0.611333118787984,0.0172068175910683,633.7928999644,7440,147,1.9758064516129,Low,3912,,,,,,2000,24
,2406_7,NJ,Linden Generating Station,2406,7,,2013,"ARP, CAIRNOX, CAIROS, CAIRSO2",1783,2,MAAC,Union County,NJ039,39,Electric Utility,40.6225,-74.2097,PSEG (Owner)|PSEG (Operator),Phase 2,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners|Water Injection,,,1995-06-01,Operating,1150,7 (96.1),96.1,0,50.7769701606733,96,0.706935730680949,2130,2013,2013-01-10,2023-12-22,2614,0.705525423601118,0.712123399959316,0.0199468172469129,575.019279265494,7608,106,1.39327024185068,Low,3998,,,,,,1995,29
,2406_8,NJ,Linden Generating Station,2406,8,,2013,"ARP, CAIRNOX, CAIROS, CAIRSO2",1783,2,MAAC,Union County,NJ039,39,Electric Utility,40.6225,-74.2097,PSEG (Owner)|PSEG (Operator),Phase 2,,Combustion turbine,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners|Water Injection,,,1995-06-01,Operating,1150,8 (96.1),96.1,0,53.1335578002245,93,0.72334455667789,2291,2053,2013-01-22,2023-12-22,2671,0.7081146268993,0.706596073958289,0.0273874149803557,592.71906285073,7272,103,1.41639163916392,Low,3986,,,,,,1995,29
,2408_1,NJ,Mercer Generating Station,2408,1,,2017,"ARP, CSNOX, CSOSG2, CSSO2G1, MATS","603801, 608054 (Started Dec 27, 2017)",2,MAAC,Mercer County,NJ021,21,Electric Utility,40.1797,-74.7325,"PSEG Power, LLC (Owner)|PSEG Power, LLC (Operator)",Phase 2,Phase 2 Group 2,Wet bottom wall-fired boiler,Coal,Pipeline Natural Gas,Dry Lime FGD,Selective Catalytic Reduction,Electrostatic Precipitator|Baghouse,,1960-12-19,Operating (Retired 06/01/2017),3350,1 (326.4),326.4,0,142.161265028751,346,0.988865656037637,3480,2962,2013-01-01,2016-11-16,3818,0.918204102156795,0.84620602527261,0.373681242634338,1583.43664506012,3456,185,5.35300925925926,Low,1415,,,,,,1960,64
,2408_2,NJ,Mercer Generating Station,2408,2,,2017,"ARP, CSNOX, CSOSG2, CSSO2G1, MATS","603801, 608054 (Started Dec 27, 2017)",2,MAAC,Mercer County,NJ021,21,Electric Utility,40.1797,-74.7325,"PSEG Power, LLC (Owner)|PSEG Power, LLC (Operator)",Phase 2,Phase 2 Group 2,Wet bottom wall-fired boiler,Coal,Pipeline Natural Gas,Dry Lime FGD,Selective Catalytic Reduction,Electrostatic Precipitator|Baghouse,,1961-06-04,Operating (Retired 06/01/2017),3350,2 (326.4),326.4,0,154.457520453115,347,0.987138661632054,4324,3230,2013-01-01,2016-12-14,4762,1.00090578148279,0.900395411374998,0.445997411377715,1768.2078156073,3984,454,11.3955823293173,Low,1443,,,,,,1961,63
,2408_7001,NJ,Mercer Generating Station,2408,7001,,2015,"CSNOX, CSNOXOS, CSSO2G1",607598,2,MAAC,Mercer County,NJ021,21,Electric Utility,40.1797,-74.7325,"PSEG Power, LLC (Owner)|PSEG Power, LLC (Operator)",,,Combustion turbine,Diesel Oil,,,,,,1967-11-30,Operating (Retired 06/30/2015),2304,3 (115.2),115.2,3,71.375,131,1,8,8,2013-08-07,2014-08-22,8,1.48196147110333,21.9528896672504,3.69527145359019,1305.7375,72,0,0,Low,380,,,,,,1967,57
,2409_1001,NJ,National Park,2409,1001,,2015,SIPNOX,607083,2,,Gloucester County,NJ015,15,Electric Utility,39.8617,-75.1836,PSEG (Owner)|PSEG (Operator),,,Combustion turbine,Diesel Oil,,,,,,1969-06-04,Operating (Retired 06/30/2015),327,1 (18.6),18.6,1,10.75,22,1,8,8,2013-07-18,2014-08-18,0,,27.1255813953488,,242.9875,96,0,0,Low,396,,,,,,1969,55
,2410_2001,NJ,Salem Generating Station,2410,2001,,2013,"CAIRNOX, CAIROS, CAIRSO2",606561,2,,Salem County,NJ033,33,Electric Utility,39.4625,-75.5333,"PSEG Nuclear, LLC (Owner)|PSEG Nuclear, LLC (Operator)",,,Combustion turbine,Diesel Oil,,,,,,1971-06-17,Operating,810,3 (41.9),41.9,1,11.369696969697,38,1,165,159,2013-01-24,2020-06-17,165,1.40410447761194,20.8023454157783,5.25314498933902,197.096363636364,1896,0,0,Low,2701,,,,,,1971,53
,2411_1,NJ,Sewaren Generating Station,2411,1,,2018,"ARP, CSNOX, CSOSG2, CSSO2G1",607531,2,MAAC,Middlesex County,NJ023,23,Electric Utility,40.5564,-74.2461,"PSEG Power, LLC (Owner)|PSEG Power, LLC (Operator)",Phase 2,,Tangentially-fired,Pipeline Natural Gas,,,,,,1948-12-01,Operating (Retired 06/06/2018),1550,1 (103.2),103.2,0,37.1257668711656,114,0.950668711656442,1208,1362,2013-06-06,2017-09-25,1630,0.747055176402545,4.82306659505908,0.00754350161117078,466.694923312883,2448,0,0,Low,1572,,,,,,1948,76
,2411_12001,NJ,Sewaren Generating Station,2411,12001,,2015,"CSNOX, CSNOXOS, CSSO2G1",603801,2,MAAC,Middlesex County,NJ023,23,Electric Utility,40.5564,-74.2461,PSEG (Owner/Operator)|PSEG (Owner/Operator),,,Combustion turbine,Diesel Oil,,,,,,1965-11-17,Operating (Retired 06/30/2015),2304,6 (115.2),115.2,1,24.804347826087,109,1,46,44,2013-08-18,2014-08-25,46,1.49500438212095,22.1449605609115,3.72760736196319,457.739130434783,384,0,0,Low,372,,,,,,1965,59
,2411_2,NJ,Sewaren Generating Station,2411,2,,2018,"ARP, CSNOX, CSOSG2, CSSO2G1",607531,2,MAAC,Middlesex County,NJ023,23,Electric Utility,40.5564,-74.2461,"PSEG Power, LLC (Owner)|PSEG Power, LLC (Operator)",Phase 2,,Tangentially-fired,Pipeline Natural Gas,,,,,,1948-11-30,Operating (Retired 06/06/2018),1725,2 (128),128,0,42.1492453884852,127,0.962358859698155,1502,1571,2013-07-09,2017-09-25,1789,0.697966845699887,5.03235449903853,0.00704798090312314,495.025124091671,2640,3,0.113636363636364,Low,1539,,,,,,1948,76
,2411_3,NJ,Sewaren Generating Station,2411,3,,2018,"ARP, CSNOX, CSOSG2, CSSO2G1",607531,2,MAAC,Middlesex County,NJ023,23,Electric Utility,40.5564,-74.2461,"PSEG Power, LLC (Owner)|PSEG Power, LLC (Operator)",Phase 2,,Tangentially-fired,Pipeline Natural Gas,,,,,,1949-10-16,Operating (Retired 06/06/2018),1600,3 (117),117,0,40.7822736030828,117,0.921098265895954,928,947,2013-07-31,2017-09-25,1005,0.721218794292734,0.636600255126146,0.0294791174525182,502.350763969172,1896,14,0.738396624472574,Low,1517,,,,,,1949,75
,2411_4,NJ,Sewaren Generating Station,2411,4,,2018,"ARP, CSNOX, CSOSG2, CSSO2G1",607531,2,MAAC,Middlesex County,NJ023,23,Electric Utility,40.5564,-74.2461,"PSEG Power, LLC (Owner)|PSEG Power, LLC (Operator)",Phase 2,,Tangentially-fired,Pipeline Natural Gas,,,,,,1951-07-30,Operating (Retired 06/06/2018),1700,4 (128),128,0,36.9611829944547,126,0.937643253234751,911,980,2013-10-11,2017-09-25,1070,0.819529055811162,0.854970194038808,0.0832065413082616,525.84399168207,1848,0,0,Low,1445,,,,,,1951,73
,2411_7,NJ,Sewaren Generating Station,2411,7,,2019,"ARP, CSNOX, CSOSG2, CSSO2G1","607531 (Ended Mar 25, 2019), 608792 (Started Mar 25, 2019)",2,MAAC,Middlesex County,NJ023,23,Electric Utility,40.5564,-74.2461,"PSEG Power, LLC (Owner)|PSEG Power, LLC (Operator)",Phase 2,,Combined cycle,Pipeline Natural Gas,Diesel Oil,,Dry Low NOx Burners|Selective Catalytic Reduction,,,2018-04-27,Operating,4182,"701 (430), 702 (287)",717,1,444.90913215838,594,0.997562449252519,41874,8784,2018-07-12,2023-12-31,41874,0.389048107138304,0.0404692358210157,0.00392792920068974,2910.39308024072,8784,8476,96.4936247723133,High,1998,,,,,,2018,6
